,Name,Type,Address,Rating,Num_of_user_ratings,url
13,Iron Skillet Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","2489 W 30th St #2268, Indianapolis, IN 46222, United States",4.5,512,https://www.google.com/maps/place/?q=place_id:ChIJeb77xu5Wa4gRz-AibGc2ukc
14,Major Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","1150 S Mickley Ave, Indianapolis, IN 46241, United States",4.6,447,https://www.google.com/maps/place/?q=place_id:ChIJ40PYNvmnbIgRUY9kWpWjD2o
15,The SportZone,"['health', 'point_of_interest', 'store', 'establishment']","6601 Coffman Rd #2598, Indianapolis, IN 46268, United States",4.0,320,https://www.google.com/maps/place/?q=place_id:ChIJuUxV5Z5Va4gR-yaCkz-egv0
16,Uptown Cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","6404 Rucker Rd, Indianapolis, IN 46220, United States",4.6,238,https://www.google.com/maps/place/?q=place_id:ChIJVVVClp1Na4gRWIUdNhR1jDk
17,JD Sports,"['shoe_store', 'clothing_store', 'point_of_interest', 'store', 'establishment']","5840 Crawfordsville Rd, Indianapolis, IN 46224, United States",4.0,238,https://www.google.com/maps/place/?q=place_id:ChIJ3fZYoyyobIgRkPsjPQm0KDE
18,Play It Again Sports,"['bicycle_store', 'point_of_interest', 'store', 'establishment']","8923 S Meridian St B2, Indianapolis, IN 46217, United States",4.1,224,https://www.google.com/maps/place/?q=place_id:ChIJleK38zZca4gRKjjxuvQAZY0
19,Simon Skjodt International Orangutan Center,"['tourist_attraction', 'point_of_interest', 'establishment']","Simon Skjodt International Orangutan Center, 1200 W Washington St, Indianapolis, IN 46222, United States",4.8,171,https://www.google.com/maps/place/?q=place_id:ChIJOUBHmU5Xa4gRVKTCu4btNaI
20,Perk Up,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","6536 Cornell Ave, Indianapolis, IN 46220, United States",4.6,123,https://www.google.com/maps/place/?q=place_id:ChIJUwHWR6hTa4gRF7UmavNt2j4
21,Open Kitchen Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","4604 E 10th St, Indianapolis, IN 46201, United States",4.8,109,https://www.google.com/maps/place/?q=place_id:ChIJ_9SmJwlNa4gRAL9KoEOxF0w
22,Black Sheep Gifts,"['clothing_store', 'point_of_interest', 'store', 'establishment']","5626 E Washington St, Indianapolis, IN 46219, United States",4.8,97,https://www.google.com/maps/place/?q=place_id:ChIJR6N5fpVPa4gRiaCEVIu9wv0
23,Cafe 251,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1928, 251 N Illinois St # 140, Indianapolis, IN 46204, United States",4.6,92,https://www.google.com/maps/place/?q=place_id:ChIJr6mfzb5Qa4gRbHAbL2zdirE
24,The Shop,"['clothing_store', 'point_of_interest', 'store', 'establishment']","918 Broad Ripple Ave, Indianapolis, IN 46220, United States",4.6,61,https://www.google.com/maps/place/?q=place_id:ChIJtYh8IK9Ta4gRmsT1E9I97yI
25,Indianapolis Zoo Admissions Building,"['zoo', 'travel_agency', 'point_of_interest', 'establishment']","1200 W Washington St, Indianapolis, IN 46222, United States",4.3,54,https://www.google.com/maps/place/?q=place_id:ChIJIQOdCq5Xa4gRYOLV6QkY6BY
26,1913 Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']","40 W Jackson Pl, Indianapolis, IN 46225, United States",4.2,52,https://www.google.com/maps/place/?q=place_id:ChIJrVeHU6NQa4gRcKHyeL1OmLI
